Driver Step Detail ID	Audit ID	Driver Step ID	APP Name	Run Name	Group Number	Run Order Number	Run Status Code	Error Process Number	SESSION START DATE TIME	SESSION END DATE TIME	Run Start Date Time	Run End Date Time	Create Date Time	Last Modified Date Time
16035010043	332185	26500001	EDW	CDI_2_O	50	10	S	2	?	?	2016-08-10 18:00:45.150000	2016-08-10 18:00:46.130000	2016-08-10 18:00:38.450000	2016-08-10 18:00:38.450000
16035010015	332185	26500002	EDW	CDI_2_O	100	10	F	2	?	?	2016-08-10 18:22:07.340000	2016-08-10 18:22:08.070000	2016-08-10 18:00:38.450000	2016-08-10 18:00:38.450000
16706110148	998109	1589120014	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	50	10	S	2	?	?	2016-08-31 13:31:19.300000	2016-08-31 13:40:59.390000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110149	998109	1589120015	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	60	10	S	2	?	?	2016-08-31 13:41:02.640000	2016-08-31 13:41:13.490000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110150	998109	1589120016	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	70	10	S	2	?	?	2016-08-31 13:41:16.300000	2016-08-31 13:41:17.010000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110151	998109	1589120017	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	100	5	S	2	?	?	2016-08-31 13:41:19.730000	2016-08-31 13:41:40.490000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110152	998109	1589120018	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	100	10	S	2	?	?	2016-08-31 13:41:41.890000	2016-08-31 13:41:51.480000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110153	998109	1589120019	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	100	15	S	2	?	?	2016-08-31 13:41:52.980000	2016-08-31 13:41:53.650000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110154	998109	1589120020	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	150	10	S	2	?	?	2016-08-31 13:41:56.490000	2016-08-31 13:42:06.780000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110155	998109	1589120021	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	200	5	S	2	?	?	2016-08-31 13:42:09.510000	2016-08-31 13:43:11.690000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110156	998109	1589120022	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	200	10	S	2	?	?	2016-08-31 13:43:13.530000	2016-08-31 13:43:25.800000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110157	998109	1589120023	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	200	15	S	2	?	?	2016-08-31 13:43:27.340000	2016-08-31 13:43:38.100000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
